"Customer_Id","Year_Birth","Annual_Income","Nb_Of_Kids","Nb_Of_Teenagers","Days_Since_Last_Purchase","Wines_Spending","Fruits_Spending","Meat_Spending","Fish_Spending","Sweet_Spending","Gold_Spending","Deals_Purchases","Web_Purchases","Catalog_Purchases","Store_Purchases","Monthly_Web_Visits","Accepted_Campaign_3","Accepted_Campaign_4","Accepted_Campaign_5","Accepted_Campaign_1","Accepted_Campaign_2","Has_Complained","Has_Responded"
10262,1985,15072,2,0,96,8,2,15,0,10,18,4,3,1,3,5,0,0,0,0,0,0,0
8977,1990,16581,0,0,51,1,3,4,2,3,11,1,0,0,3,4,0,0,0,0,0,0,0
6613,1975,44511,1,0,39,513,7,133,46,14,14,6,8,4,8,8,0,0,0,0,0,0,0
8537,1954,72643,0,0,60,526,80,553,123,94,53,1,3,10,7,2,0,0,0,1,0,0,1
295,1994,81217,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0
7848,1979,49166,0,1,17,224,2,25,7,0,110,2,5,3,3,6,0,0,0,0,0,0,0
10827,1972,36947,1,1,49,88,3,21,4,1,29,4,3,0,4,9,0,0,0,0,0,0,0
4331,1983,85738,0,0,41,913,26,376,17,26,13,1,3,6,11,1,0,1,1,0,0,0,0
4756,1957,63998,0,0,42,176,29,818,0,33,112,1,7,6,11,4,0,0,0,0,0,0,1
9477,1959,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
7397,1956,49090,0,1,45,494,5,82,7,0,100,3,7,2,9,7,0,0,0,0,0,0,0
5491,1956,47352,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0
6281,1971,55686,0,1,27,673,0,199,37,47,26,2,6,3,5,4,1,0,0,0,0,0,0
3412,1956,67381,0,1,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,0
4856,1962,82347,0,0,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,0
6349,1992,61787,0,0,71,621,73,414,78,48,85,1,8,4,6,5,0,0,0,0,0,0,0
4338,1988,39062,1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,0
606,1972,25930,1,1,87,6,1,2,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
7186,1971,30843,1,1,43,24,0,2,0,0,9,2,1,1,2,5,1,0,0,0,0,0,0
8402,1958,67087,0,1,40,329,35,222,130,35,43,2,7,5,8,4,0,0,0,0,0,0,0
10790,1990,18169,1,0,40,9,0,5,0,0,7,1,1,0,2,8,0,0,0,0,0,0,0
5794,1979,46374,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,0,1
8783,1955,57045,0,1,40,296,13,104,11,13,17,3,4,2,9,3,0,0,0,0,0,0,0
2452,1976,34600,1,1,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,0,1
5961,1983,42693,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0
10398,1986,24336,1,0,82,1,6,2,8,2,12,1,1,0,2,7,0,0,0,0,0,0,0
1456,1984,60474,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0
10010,1958,36957,1,1,43,100,2,16,2,1,31,4,3,2,2,9,0,0,0,0,0,0,1
2975,1981,85606,0,1,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0
9507,1980,40794,0,1,18,261,23,73,4,23,50,2,6,3,5,7,0,0,0,0,0,0,0
2431,1995,18222,0,0,70,12,4,19,12,6,14,1,2,0,3,8,0,0,0,0,0,0,0
4877,1978,38576,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0
2894,1990,72903,0,0,74,1067,138,750,0,19,39,1,7,5,8,4,0,1,1,1,0,0,1
618,1982,69389,0,1,17,422,7,238,69,46,15,1,7,2,12,4,0,0,0,0,0,0,0
8360,1976,54690,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0
550,1957,62335,0,1,87,243,131,217,85,6,26,2,3,3,13,2,0,0,0,0,0,0,0
425,1990,55357,2,0,66,374,64,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,0
7613,1979,49669,1,0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,0
9121,1977,80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1
1890,1976,42033,1,1,95,11,1,4,2,0,7,1,1,0,2,7,0,0,0,0,0,0,0
10311,1974,4428,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0
3007,1971,37758,1,1,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,0
361,1974,43142,1,1,84,5,1,7,2,1,4,1,1,0,2,7,0,0,0,0,0,0,0
10542,1973,36778,1,1,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0
5117,1968,32632,0,0,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,0
10742,1988,86580,0,0,72,532,21,127,26,20,20,0,4,2,5,1,0,0,1,0,0,0,0
1031,1994,85710,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0
4310,1949,80589,0,0,25,507,93,520,242,40,26,1,5,10,5,1,0,0,0,1,0,0,1
8015,1967,85696,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1
4867,1973,38236,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0
10356,1962,41437,1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0
4297,1974,23228,1,0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,0,0,0,0,0
2678,1995,34412,1,0,62,52,12,50,4,36,55,3,5,0,3,9,0,0,0,0,0,0,0
9289,1984,36781,1,0,16,29,1,17,0,3,13,1,2,1,2,8,0,0,0,0,0,0,1
4676,1956,73705,0,2,86,612,91,520,258,107,107,2,9,6,8,5,0,0,0,0,0,0,0
10617,1994,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
807,1974,44602,1,1,35,167,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0,0
6376,1984,57537,1,0,83,191,56,139,51,8,100,4,4,3,8,4,0,0,0,0,0,0,0
11166,1966,49678,0,1,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,0
8852,1981,61064,0,1,80,387,126,342,0,45,180,5,8,4,11,6,0,0,0,0,0,0,0
9553,1992,7500,0,0,94,0,2,3,4,1,5,1,0,0,3,6,0,0,0,0,0,0,0
10913,1989,31385,1,0,56,3,2,12,0,1,9,1,1,0,2,8,1,0,0,0,0,0,1
524,1971,22634,0,0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0
3565,1960,38452,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0
849,1958,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
3032,1989,24570,1,0,97,28,34,62,11,14,44,3,4,0,4,9,0,0,0,0,0,0,0
4271,1994,38683,1,0,80,46,35,69,84,41,66,6,4,1,6,7,0,0,0,0,0,0,0
10341,1953,51315,0,0,45,68,28,39,16,30,41,1,2,2,5,2,0,0,0,0,0,0,0
4120,1980,49514,1,0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,0,0,0,0,0
5294,1994,18358,1,0,49,6,8,19,16,4,4,3,3,0,4,7,0,0,0,0,0,0,0
523,1994,37155,1,0,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0
8524,1979,25509,1,0,15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,0,1
5654,1977,36026,2,1,34,20,4,10,6,4,17,2,2,0,3,6,0,0,0,0,0,0,0
2036,1978,57906,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0
4066,1983,21282,1,0,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0
3334,1956,94642,0,0,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,0
1958,1978,55012,0,1,85,582,0,65,0,0,13,6,8,2,9,5,0,0,0,0,0,0,0
4098,1978,24639,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0
115,1971,43456,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0
8414,1967,33419,0,1,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,0
4470,1967,58646,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0
7349,1978,9722,1,0,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,0,1
5824,1977,34578,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0
819,1950,63285,0,0,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,0
4259,1991,19485,2,0,80,6,0,4,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
8799,1989,38175,1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0
1406,1980,53201,1,1,49,280,7,81,20,0,27,8,6,3,5,7,0,0,0,0,0,0,0
7000,1977,65704,0,0,18,279,172,74,38,8,246,1,2,10,10,1,0,0,0,0,0,0,0
4961,1979,21255,1,0,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,0
8687,1983,53172,0,1,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,0
1351,1961,58656,0,1,25,962,12,194,16,24,12,4,7,8,13,6,0,0,1,0,0,0,0
8619,1962,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
2561,1971,63810,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0
749,1986,42162,1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,1
2447,1984,30545,1,0,71,4,12,15,19,7,12,2,2,0,3,7,0,0,0,0,0,0,0
1045,1970,52117,0,1,55,112,10,107,30,0,20,2,5,2,4,7,0,0,0,0,0,0,0
10821,1983,57113,1,1,45,182,4,33,0,2,42,6,4,1,5,7,0,0,0,0,0,0,0
5229,1974,54132,0,1,81,30,1,8,0,0,3,1,1,0,3,7,0,0,0,0,0,0,0
5430,1961,54450,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0
10140,1988,70123,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0
7732,1983,64813,1,0,81,293,0,124,179,97,52,1,7,2,10,5,0,0,0,0,0,0,0
4552,1996,51373,0,0,37,83,2,101,64,26,117,1,3,5,3,4,0,0,0,0,0,0,0
4086,1964,18690,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0
7755,1959,57744,0,1,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,0
9353,1964,62450,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,0
8070,1978,54222,0,1,98,199,12,31,3,12,7,1,3,3,5,3,0,0,0,0,0,0,0
898,1991,23477,1,0,39,38,15,54,3,8,29,3,3,0,4,8,0,0,0,0,0,0,0
2428,1975,28164,1,0,23,3,18,26,11,8,12,3,2,0,4,7,0,0,0,0,0,0,0
10525,1991,26576,1,0,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,1
3623,1981,21675,1,0,55,4,0,16,17,4,4,3,4,0,3,7,0,0,0,0,0,0,0
477,1991,83512,0,0,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,0,1
8254,1979,34596,1,0,48,14,0,2,0,0,7,1,1,0,2,8,0,0,0,0,0,0,0
9797,1961,58116,0,1,38,228,19,130,4,11,51,2,3,3,8,2,0,0,0,0,0,0,0
738,1986,42395,1,1,35,48,13,57,24,15,25,4,3,1,4,7,0,0,0,0,0,0,0
1453,1948,57513,0,0,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0
7832,1964,77520,0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,0,1
2836,1977,43269,1,0,61,10,1,7,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
10949,1968,72968,0,0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,0,1
7631,1983,61346,1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,0
2202,1983,41154,0,1,98,44,2,11,2,3,7,1,1,0,4,5,0,0,0,0,0,0,0
8310,1969,68142,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0
8418,1963,38741,1,1,60,7,10,17,8,6,13,2,2,0,3,7,0,0,0,0,0,0,0
8212,1976,39791,0,1,89,85,15,27,13,13,21,2,3,1,4,7,0,0,0,0,0,0,0
4789,1958,80812,0,0,95,769,22,500,210,143,33,1,4,8,5,2,1,0,1,1,0,0,0
10710,1984,7500,0,1,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,0
7396,1971,80398,0,0,92,342,51,936,207,35,26,1,5,8,12,3,0,0,1,0,0,0,0
1362,1977,31907,0,0,75,33,87,64,175,16,74,1,6,1,6,7,0,0,0,0,0,0,0
6248,1952,91712,0,0,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,0,1
773,1976,42835,1,1,64,379,4,93,12,9,98,7,6,6,4,6,0,0,0,0,0,0,0
4055,1997,18746,1,0,41,2,10,11,12,9,20,2,3,0,3,6,0,0,0,0,0,0,0
5031,1979,83145,0,0,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1
7152,1988,27100,1,0,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,0
10164,1963,94472,0,1,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0,0
10602,1988,39922,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0
2613,1965,54197,0,1,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0
10033,1978,31163,1,0,54,2,3,10,11,2,10,1,1,0,3,6,0,0,0,0,0,0,0
10340,1989,35196,1,0,68,75,12,141,43,39,187,6,6,1,5,8,0,0,0,0,0,0,0
1446,1961,86424,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0
4547,1965,13672,1,1,86,6,2,9,2,1,5,2,1,0,3,8,0,0,0,0,0,0,0
213,1968,23091,1,1,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0
10091,1961,60230,0,1,78,520,20,367,39,81,40,2,6,3,6,5,0,0,0,0,0,0,0
3270,1983,17117,1,0,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0,0,0,0,0
6815,1985,96547,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,0,1
9349,1990,92533,0,0,84,693,21,118,110,147,42,1,6,5,11,2,0,0,1,1,0,0,0
967,1981,46049,1,1,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,1
7629,1982,22108,1,1,46,5,3,9,6,2,6,2,2,0,3,7,0,0,0,0,0,0,0
8443,1977,24762,1,0,16,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,0,1
274,1978,34853,1,1,75,9,3,15,2,3,2,2,2,0,3,6,0,0,0,0,0,0,0
4122,1980,79205,0,0,73,504,23,117,179,28,44,1,6,5,4,4,0,0,0,1,0,0,1
1077,1979,56715,0,0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0
10640,1979,44392,1,1,71,87,5,71,7,12,29,5,4,1,4,7,0,0,0,0,0,0,0
9653,1980,35797,0,1,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,0,0
3388,1972,70844,1,1,16,129,26,67,3,67,2,5,6,1,5,7,0,0,0,0,0,0,0
10841,1980,56559,0,1,46,226,22,133,41,31,31,3,4,3,8,4,0,0,0,0,0,0,0
3498,1981,55424,0,1,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,0,1
8916,1980,36627,2,0,78,9,1,5,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0
922,1984,31086,1,1,79,16,2,11,3,0,16,2,1,1,2,8,1,0,0,0,0,0,0
5370,1978,32644,1,0,38,239,3,141,0,7,23,4,7,1,6,8,1,0,0,0,0,0,0
6742,1984,17688,1,0,82,2,2,1,3,1,2,1,1,0,2,8,0,0,0,0,0,1,0
8017,1986,51111,1,1,83,22,0,19,6,5,3,2,2,0,3,6,0,0,0,0,0,0,0
8588,1966,60544,1,1,92,201,2,43,3,5,35,4,5,1,5,6,0,0,0,0,0,0,0
176,1985,67506,0,1,73,90,38,67,33,36,67,1,4,1,6,3,0,0,0,0,0,0,0
5830,1977,86857,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1
1172,1988,92491,0,0,71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,0,1
2518,1991,20491,0,0,16,5,4,5,4,2,10,1,0,1,2,7,0,0,0,0,0,0,0
4860,1975,24206,1,0,66,7,2,8,3,2,3,1,1,0,3,6,0,0,0,0,0,0,0
4597,1975,82072,0,0,67,889,55,685,168,92,129,1,3,2,13,1,0,0,0,0,0,0,0
569,1996,90273,0,0,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,0,1
10757,1972,28420,1,0,36,4,2,5,2,0,0,1,1,0,2,6,0,0,0,0,0,0,0
574,1969,42523,0,0,96,14,36,11,3,26,35,1,1,1,4,2,0,0,0,0,0,0,0
7023,1958,46231,2,1,87,189,2,55,0,5,12,4,6,1,4,9,0,0,0,0,0,0,0
4686,1967,82571,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0
4023,1975,22979,1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,0,1
3220,1988,39922,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0
8086,1964,42243,1,1,34,48,0,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,0
6679,1971,33279,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
1381,1987,38513,1,0,20,172,3,115,16,0,18,5,6,1,5,8,0,0,0,0,0,0,1
8825,1967,51195,1,1,46,230,14,156,82,24,58,8,9,2,5,8,0,0,0,0,0,0,0
9923,1977,46423,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0
2634,1984,16653,1,0,10,5,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,0,1
5967,1957,33402,1,1,60,26,2,19,10,5,8,3,2,1,3,8,0,0,0,0,0,0,0
2930,1983,68092,0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0
7181,1982,30368,0,1,97,35,0,13,2,0,2,2,2,0,3,8,0,0,0,0,0,0,0
10905,1960,42586,1,1,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,0,1
1183,1954,36408,1,1,11,9,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,0,0
1928,1978,31814,1,0,73,35,3,20,4,1,20,2,2,0,3,9,1,0,0,0,0,0,0
1744,1970,23529,0,1,67,9,7,13,3,2,20,1,1,1,2,6,0,0,0,0,0,0,0
3599,1975,63684,0,1,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0,0
6856,1984,21645,1,0,75,14,0,23,4,5,19,3,3,0,3,9,0,0,0,0,0,0,1
7108,1970,51390,1,1,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0,0
1000,1966,74881,1,1,48,505,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,0
405,1969,41638,0,1,68,315,0,31,4,0,91,4,5,5,3,8,1,0,0,0,0,0,0
4530,1953,78427,0,0,36,972,19,595,180,26,138,3,3,7,10,3,0,0,0,1,0,0,1
10925,1988,76630,0,0,93,255,31,446,40,56,175,1,3,10,11,1,0,0,0,0,0,0,0
3828,1956,71107,0,1,61,533,10,217,198,174,195,2,7,6,13,4,0,0,0,0,0,0,0
6870,1964,68805,0,1,73,182,2,49,17,13,20,1,3,1,7,2,0,0,0,0,0,0,0
9960,1996,26868,1,0,52,0,0,1,8,3,2,1,1,0,2,7,0,0,0,0,0,0,0
1553,1951,82657,0,0,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,0
8605,1969,46910,1,1,36,48,0,14,0,0,6,2,2,0,3,6,0,0,0,0,0,0,0
832,1971,65814,0,1,90,561,14,113,10,14,35,3,8,2,10,5,0,0,0,0,0,0,0
8800,1948,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
4682,1963,51876,0,0,88,99,27,102,28,48,6,1,2,2,8,1,0,0,0,0,0,0,0
10304,1964,18690,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0
2002,1963,71964,0,0,81,587,51,932,180,34,86,1,5,6,5,3,0,0,0,0,0,0,0
9224,1977,55260,0,1,81,825,8,53,11,0,242,2,8,10,5,6,0,0,0,0,0,0,0
4351,1960,37244,1,1,90,18,2,10,0,0,25,1,1,1,2,7,1,0,0,0,0,0,0
8204,1976,78041,0,0,93,482,35,553,72,160,17,1,4,4,9,2,0,0,0,0,0,0,0
3657,1991,39146,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0
5519,1961,64090,0,1,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,0,1
10129,1971,82427,0,0,35,482,147,509,104,107,107,1,3,5,12,1,0,0,1,0,0,0,0
5221,1962,52852,0,1,93,714,8,99,11,0,47,4,10,7,5,8,1,0,0,0,0,0,0
500,1982,96876,0,0,79,908,43,735,40,194,21,1,7,7,9,2,0,1,1,1,0,0,1
5046,1963,78331,0,1,97,756,138,354,160,169,61,2,10,6,7,4,0,0,0,0,0,0,0
2499,1963,75342,0,1,38,204,97,97,21,118,26,1,5,2,10,4,0,0,0,0,0,0,0
1232,1987,70038,0,0,54,587,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,0
1951,1986,34445,0,0,92,228,122,122,208,129,30,6,11,2,8,9,0,0,0,0,0,0,0
7037,1979,37087,1,0,50,194,55,134,15,0,3,3,4,2,8,6,0,0,0,0,0,0,0
10092,1959,70044,0,1,46,1073,0,250,153,14,14,4,7,10,5,5,0,0,0,0,0,0,0
3262,1963,68281,0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,0,1
1927,1978,69401,0,1,41,399,27,159,58,8,39,4,4,4,5,2,0,0,0,0,0,0,0
905,1991,21846,1,0,38,7,17,18,6,10,26,4,4,0,3,8,0,0,0,0,0,0,0
7500,1972,79146,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0
5788,1977,46053,1,0,46,56,10,92,19,7,25,3,3,2,4,5,0,0,0,0,0,0,0
4102,1980,37284,1,1,46,11,1,2,2,1,6,1,0,0,3,6,0,0,0,0,0,0,0
5796,1968,77437,0,0,70,560,21,442,29,44,29,1,4,5,13,1,0,0,1,0,0,0,0
8624,1963,81320,0,0,61,183,33,493,59,103,57,1,4,3,10,2,0,0,0,0,0,0,0
7042,1988,36790,0,0,14,3,3,14,15,21,10,1,2,1,2,9,0,0,0,0,0,0,1
