"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"000","M","USD","EUR","2009-05-19","0.74190","0","0"
"000","M","USD","EUR","2009-05-18","0.74130","0","0"
"000","M","USD","EUR","2009-05-17","0.74130","0","0"
"000","M","USD","EUR","2009-05-16","0.73640","0","0"
"000","M","USD","EUR","2009-05-15","0.73600","0","0"
"000","M","USD","EUR","2009-05-14","0.73270","0","0"
"000","M","USD","EUR","2009-05-13","0.73420","0","0"
"000","M","USD","EUR","2009-05-12","0.73450","0","0"
"000","M","USD","EUR","2009-05-11","0.73370","0","0"
"000","M","USD","EUR","2009-05-10","0.73380","0","0"
"000","M","USD","EUR","2009-05-09","0.74370","0","0"
"000","M","USD","EUR","2009-05-08","0.74930","0","0"
"000","M","USD","EUR","2009-05-07","0.75170","0","0"
"000","M","USD","EUR","2009-05-04","0.75380","0","0"
"000","M","USD","EUR","2009-05-03","0.75380","0","0"
"000","M","USD","EUR","2009-05-01","0.75310","0","0"
"000","M","USD","EUR","2009-04-30","0.75680","0","0"
"000","M","USD","EUR","2009-04-27","0.75550","0","0"
"000","M","USD","EUR","2009-04-26","0.75530","0","0"
"000","M","USD","EUR","2009-04-25","0.75750","0","0"
"000","M","USD","EUR","2009-04-20","0.76690","0","0"
"000","M","USD","EUR","2009-04-19","0.76690","0","0"
"000","M","USD","EUR","2009-04-15","0.75150","0","0"
"000","M","USD","EUR","2009-04-14","0.75590","0","0"
"000","M","USD","EUR","2009-04-13","0.75870","0","0"
"000","M","USD","EUR","2009-04-12","0.75870","0","0"
"000","M","USD","EUR","2009-04-11","0.76110","0","0"
"000","M","USD","EUR","2009-04-09","0.75580","0","0"
"000","M","USD","EUR","2009-04-08","0.75060","0","0"
"000","M","USD","EUR","2009-04-07","0.74090","0","0"
"000","M","USD","EUR","2009-04-05","0.74190","0","0"
"000","M","USD","EUR","2009-04-04","0.74400","0","0"
"000","M","USD","EUR","2009-04-03","0.75010","0","0"
"000","M","USD","EUR","2009-04-02","0.75610","0","0"
"000","M","USD","EUR","2009-04-01","0.75330","0","0"
"000","M","USD","EUR","2009-03-31","0.75730","0","0"
"000","M","USD","EUR","2009-03-30","0.75280","0","0"
"000","M","USD","EUR","2009-03-29","0.75270","0","0"
"000","M","USD","EUR","2009-03-26","0.74090","0","0"
"000","M","USD","EUR","2009-03-24","0.73370","0","0"
"000","M","USD","EUR","2009-03-23","0.73660","0","0"
"000","M","USD","EUR","2009-03-22","0.73660","0","0"
"000","M","USD","EUR","2009-03-21","0.73390","0","0"
"000","M","USD","EUR","2009-03-20","0.73860","0","0"
"000","M","USD","EUR","2009-03-18","0.77010","0","0"
"000","M","USD","EUR","2009-03-16","0.77380","0","0"
"000","M","USD","EUR","2009-03-15","0.77370","0","0"
"000","M","USD","EUR","2009-03-13","0.78050","0","0"
"000","M","USD","EUR","2009-03-10","0.79080","0","0"
"000","M","USD","EUR","2009-03-09","0.79060","0","0"
"000","M","USD","EUR","2009-03-08","0.79060","0","0"
"000","M","USD","EUR","2009-03-07","0.79170","0","0"
"000","M","USD","EUR","2009-03-04","0.79360","0","0"
"000","M","USD","EUR","2009-03-01","0.78960","0","0"
"000","M","USD","EUR","2009-02-26","0.78050","0","0"
"000","M","USD","EUR","2009-02-21","0.79030","0","0"
"000","M","USD","EUR","2009-02-20","0.79170","0","0"
"000","M","USD","EUR","2009-02-19","0.79480","0","0"
"000","M","USD","EUR","2009-02-18","0.79040","0","0"
"000","M","USD","EUR","2009-02-14","0.77580","0","0"
"000","M","USD","EUR","2009-02-11","0.77370","0","0"
"000","M","USD","EUR","2009-02-10","0.77080","0","0"
"000","M","USD","EUR","2009-01-28","0.75750","0","0"
"000","M","USD","EUR","2009-01-26","0.77020","0","0"
"000","M","USD","EUR","2009-01-25","0.77020","0","0"
"000","M","USD","EUR","2009-01-23","0.76930","0","0"
"000","M","USD","EUR","2009-01-21","0.77050","0","0"
"000","M","USD","EUR","2009-01-20","0.75410","0","0"
"000","M","USD","EUR","2009-01-17","0.75590","0","0"
"000","M","USD","EUR","2009-01-16","0.76040","0","0"
"000","M","USD","EUR","2009-01-15","0.75690","0","0"
"000","M","USD","EUR","2009-01-14","0.75330","0","0"
"000","M","USD","EUR","2009-01-13","0.74640","0","0"
"000","M","USD","EUR","2009-01-12","0.74240","0","0"
"000","M","USD","EUR","2009-01-11","0.74240","0","0"
"000","M","USD","EUR","2009-01-10","0.73420","0","0"
"000","M","USD","EUR","2009-01-09","0.73310","0","0"
"000","M","USD","EUR","2009-01-08","0.73650","0","0"
"000","M","USD","EUR","2009-01-07","0.74100","0","0"
"000","M","USD","EUR","2009-01-02","0.71590","0","0"
"000","M","USD","EUR","2008-12-30","0.70490","0","0"
"000","M","USD","EUR","2008-12-29","0.71290","0","0"
"000","M","USD","EUR","2008-12-28","0.71290","0","0"
"000","M","USD","EUR","2008-12-24","0.71560","0","0"
"000","M","USD","EUR","2008-12-22","0.71900","0","0"
"000","M","USD","EUR","2008-12-17","0.72880","0","0"
"000","M","USD","EUR","2008-12-12","0.76100","0","0"
"000","M","USD","EUR","2008-12-10","0.77580","0","0"
"000","M","USD","EUR","2008-12-08","0.78650","0","0"
"000","M","USD","EUR","2008-12-04","0.78890","0","0"
"000","M","USD","EUR","2008-12-01","0.78820","0","0"
"000","M","USD","EUR","2008-11-30","0.78820","0","0"
"000","M","USD","EUR","2008-11-28","0.77500","0","0"
"000","M","USD","EUR","2008-11-27","0.77100","0","0"
"000","M","USD","EUR","2008-11-26","0.77450","0","0"
"000","M","USD","EUR","2008-11-25","0.78820","0","0"
"000","M","USD","EUR","2008-11-24","0.79480","0","0"
"000","M","USD","EUR","2008-11-23","0.79490","0","0"
"000","M","USD","EUR","2008-11-20","0.79190","0","0"
"000","M","USD","EUR","2008-10-31","0.76610","0","0"
"000","M","USD","EUR","2008-10-25","0.79030","0","0"
"000","M","USD","EUR","2008-10-22","0.75490","0","0"
"000","M","USD","EUR","2008-10-21","0.74540","0","0"
"000","M","USD","EUR","2008-10-20","0.74610","0","0"
"000","M","USD","EUR","2008-10-19","0.74610","0","0"
"000","M","USD","EUR","2008-10-17","0.74370","0","0"
"000","M","USD","EUR","2008-10-16","0.73610","0","0"
"000","M","USD","EUR","2008-10-15","0.73190","0","0"
"000","M","USD","EUR","2008-10-14","0.73660","0","0"
"000","M","USD","EUR","2008-10-13","0.74610","0","0"
"000","M","USD","EUR","2008-10-10","0.73170","0","0"
"000","M","USD","EUR","2008-10-09","0.73370","0","0"
"000","M","USD","EUR","2008-10-07","0.73590","0","0"
"000","M","USD","EUR","2008-10-06","0.72660","0","0"
"000","M","USD","EUR","2008-09-30","0.69230","0","0"
"000","M","USD","EUR","2008-09-27","0.68430","0","0"
"000","M","USD","EUR","2008-09-26","0.68150","0","0"
"000","M","USD","EUR","2008-09-25","0.68150","0","0"
"000","M","USD","EUR","2008-09-24","0.67780","0","0"
"000","M","USD","EUR","2008-09-22","0.69140","0","0"
"000","M","USD","EUR","2008-09-20","0.69880","0","0"
"000","M","USD","EUR","2008-09-19","0.69560","0","0"
"000","M","USD","EUR","2008-09-18","0.70450","0","0"
"000","M","USD","EUR","2008-09-16","0.70060","0","0"
"000","M","USD","EUR","2008-09-14","0.70310","0","0"
"000","M","USD","EUR","2008-09-09","0.70050","0","0"
"000","M","USD","EUR","2008-09-08","0.70100","0","0"
"000","M","USD","EUR","2008-09-07","0.70120","0","0"
"000","M","USD","EUR","2008-09-06","0.70090","0","0"
"000","M","USD","EUR","2008-09-05","0.69140","0","0"
"000","M","USD","EUR","2008-09-01","0.68170","0","0"
"000","M","USD","EUR","2008-08-31","0.68170","0","0"
"000","M","USD","EUR","2008-08-29","0.67800","0","0"
"000","M","USD","EUR","2008-08-28","0.68020","0","0"
"000","M","USD","EUR","2008-08-27","0.68150","0","0"
"000","M","USD","EUR","2008-08-23","0.67350","0","0"
"000","M","USD","EUR","2008-08-21","0.67810","0","0"
"000","M","USD","EUR","2008-08-19","0.67940","0","0"
"000","M","USD","EUR","2008-08-11","0.66660","0","0"
"000","M","USD","EUR","2008-08-10","0.66660","0","0"
"000","M","USD","EUR","2008-08-09","0.65940","0","0"
"000","M","USD","EUR","2008-07-28","0.63680","0","0"
"000","M","USD","EUR","2008-07-27","0.63680","0","0"
"000","M","USD","EUR","2008-07-26","0.63680","0","0"
"000","M","USD","EUR","2008-07-13","0.62770","0","0"
"000","M","USD","EUR","2008-07-12","0.63200","0","0"
"000","M","USD","EUR","2008-07-10","0.63710","0","0"
"000","M","USD","EUR","2008-07-09","0.63710","0","0"
"000","M","USD","EUR","2008-07-07","0.63680","0","0"
"000","M","USD","EUR","2008-07-06","0.63680","0","0"
"000","M","USD","EUR","2008-07-03","0.63200","0","0"
"000","M","USD","EUR","2008-06-29","0.63330","0","0"
"000","M","USD","EUR","2008-06-28","0.63490","0","0"
"000","M","USD","EUR","2008-06-27","0.63710","0","0"
"000","M","USD","EUR","2008-06-25","0.64310","0","0"
"000","M","USD","EUR","2008-06-17","0.64810","0","0"
"000","M","USD","EUR","2008-06-13","0.64670","0","0"
"000","M","USD","EUR","2008-06-10","0.63460","0","0"
"000","M","USD","EUR","2008-06-08","0.63560","0","0"
"000","M","USD","EUR","2008-06-02","0.64310","0","0"
"000","M","USD","EUR","2008-06-01","0.64310","0","0"
"000","M","USD","EUR","2008-05-28","0.63460","0","0"
"000","M","USD","EUR","2008-05-26","0.63460","0","0"
"000","M","USD","EUR","2008-05-25","0.63460","0","0"
"000","M","USD","EUR","2008-05-23","0.63460","0","0"
"000","M","USD","EUR","2008-05-16","0.64610","0","0"
"000","M","USD","EUR","2008-05-12","0.64610","0","0"
"000","M","USD","EUR","2008-05-11","0.64610","0","0"
"000","M","USD","EUR","2008-05-08","0.64670","0","0"
"000","M","USD","EUR","2008-05-06","0.64670","0","0"
"000","M","USD","EUR","2008-05-01","0.64230","0","0"
"000","M","USD","EUR","2008-04-25","0.63350","0","0"
"000","M","USD","EUR","2008-04-24","0.62690","0","0"
"000","M","USD","EUR","2008-04-23","0.62770","0","0"
"000","M","USD","EUR","2008-04-14","0.63310","0","0"
"000","M","USD","EUR","2008-04-11","0.63200","0","0"
"000","M","USD","EUR","2008-04-10","0.63540","0","0"
"000","M","USD","EUR","2008-04-08","0.63680","0","0"
"000","M","USD","EUR","2008-04-07","0.63560","0","0"
"000","M","USD","EUR","2008-04-06","0.63560","0","0"
"000","M","USD","EUR","2008-04-02","0.63710","0","0"
"000","M","USD","EUR","2008-03-31","0.63330","0","0"
"000","M","USD","EUR","2008-03-30","0.63330","0","0"
"000","M","USD","EUR","2008-03-24","0.64810","0","0"
"000","M","USD","EUR","2008-03-23","0.64810","0","0"
"000","M","USD","EUR","2008-03-17","0.63820","0","0"
"000","M","USD","EUR","2008-03-16","0.63820","0","0"
"000","M","USD","EUR","2008-03-10","0.65140","0","0"
"000","M","USD","EUR","2008-03-09","0.65140","0","0"
"000","M","USD","EUR","2008-03-05","0.65780","0","0"
"000","M","USD","EUR","2008-03-04","0.65810","0","0"
"000","M","USD","EUR","2008-03-03","0.65900","0","0"
"000","M","USD","EUR","2008-03-02","0.65900","0","0"
"000","M","USD","EUR","2008-03-01","0.65830","0","0"
"000","M","USD","EUR","2008-02-29","0.66110","0","0"
"000","M","USD","EUR","2008-02-27","0.67330","0","0"
"000","M","USD","EUR","2008-02-26","0.67480","0","0"
"000","M","USD","EUR","2008-02-23","0.67480","0","0"
"000","M","USD","EUR","2008-02-21","0.68020","0","0"
"000","M","USD","EUR","2008-02-20","0.68020","0","0"
"000","M","USD","EUR","2008-02-19","0.68220","0","0"
"000","M","USD","EUR","2008-02-18","0.68130","0","0"
"000","M","USD","EUR","2008-02-17","0.68130","0","0"
"000","M","USD","EUR","2008-02-16","0.68230","0","0"
"000","M","USD","EUR","2008-02-11","0.68960","0","0"
"000","M","USD","EUR","2008-02-10","0.68960","0","0"
"000","M","USD","EUR","2008-02-09","0.69030","0","0"
"000","M","USD","EUR","2008-02-07","0.68330","0","0"
"000","M","USD","EUR","2008-02-06","0.67800","0","0"
"000","M","USD","EUR","2008-02-04","0.67580","0","0"
