KEY;SURVEY_DATE;OFFICE_LOCATION;STATEMENT;RATING
78;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
79;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;6
80;2020-01-01;2500-0001;I'm often working under time pressure.;9
81;2020-01-01;2500-0001;I have a really interesting  job.;3
82;2020-01-01;2500-0001;Most of the time I enjoy going to work.;3
83;2020-01-01;2500-0001;I'm often bored at work.;6
84;2020-01-01;2500-0001;If I could, I would like to change careers.;9
85;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
86;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
87;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
88;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;7
89;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;9
90;2020-01-01;2500-0001;I'm often working under time pressure.;6
91;2020-01-01;2500-0001;I have a really interesting  job.;3
92;2020-01-01;2500-0001;Most of the time I enjoy going to work.;1
93;2020-01-01;2500-0001;I'm often bored at work.;6
94;2020-01-01;2500-0001;If I could, I would like to change careers.;9
95;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
96;2020-01-01;2500-0001;I can always trust the colleagues in my team.;1
97;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
98;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
99;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
100;2020-01-01;2500-0001;I'm often working under time pressure.;6
101;2020-01-01;2500-0001;I have a really interesting  job.;1
102;2020-01-01;2500-0001;Most of the time I enjoy going to work.;2
103;2020-01-01;2500-0001;I'm often bored at work.;7
104;2020-01-01;2500-0001;If I could, I would like to change careers.;8
105;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
106;2020-01-01;2500-0001;I can always trust the colleagues in my team.;1
107;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
108;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
109;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;7
110;2020-01-01;2500-0001;I'm often working under time pressure.;8
111;2020-01-01;2500-0001;I have a really interesting  job.;3
112;2020-01-01;2500-0001;Most of the time I enjoy going to work.;3
113;2020-01-01;2500-0001;I'm often bored at work.;9
114;2020-01-01;2500-0001;If I could, I would like to change careers.;6
115;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
116;2020-01-01;2500-0001;I can always trust the colleagues in my team.;1
117;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
118;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;7
119;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;7
120;2020-01-01;2500-0001;I'm often working under time pressure.;9
121;2020-01-01;2500-0001;I have a really interesting  job.;2
122;2020-01-01;2500-0001;Most of the time I enjoy going to work.;2
123;2020-01-01;2500-0001;I'm often bored at work.;9
124;2020-01-01;2500-0001;If I could, I would like to change careers.;7
125;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
126;2020-01-01;2500-0001;I can always trust the colleagues in my team.;1
127;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
128;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
129;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
130;2020-01-01;2500-0001;I'm often working under time pressure.;6
131;2020-04-01;2500-0001;I have a really interesting  job.;10
132;2020-04-01;2500-0001;Most of the time I enjoy going to work.;10
133;2020-04-01;2500-0001;I'm often bored at work.;2
134;2020-04-01;2500-0001;If I could, I would like to change careers.;1
135;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;10
136;2020-04-01;2500-0001;I can always trust the colleagues in my team.;10
137;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;3
138;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
139;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;1
140;2020-04-01;2500-0001;I'm often working under time pressure.;2
141;2020-04-01;2500-0001;I have a really interesting  job.;10
142;2020-04-01;2500-0001;Most of the time I enjoy going to work.;10
143;2020-04-01;2500-0001;I'm often bored at work.;1
144;2020-04-01;2500-0001;If I could, I would like to change careers.;1
145;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
146;2020-04-01;2500-0001;I can always trust the colleagues in my team.;9
147;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
148;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
149;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;2
150;2020-04-01;2500-0001;I'm often working under time pressure.;2
151;2020-04-01;2500-0001;I have a really interesting  job.;8
152;2020-04-01;2500-0001;Most of the time I enjoy going to work.;8
153;2020-04-01;2500-0001;I'm often bored at work.;2
154;2020-04-01;2500-0001;If I could, I would like to change careers.;3
155;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;10
156;2020-04-01;2500-0001;I can always trust the colleagues in my team.;8
157;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
158;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
159;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;1
160;2020-04-01;2500-0001;I'm often working under time pressure.;2
161;2020-04-01;2500-0001;I have a really interesting  job.;10
162;2020-04-01;2500-0001;Most of the time I enjoy going to work.;10
163;2020-04-01;2500-0001;I'm often bored at work.;1
164;2020-04-01;2500-0001;If I could, I would like to change careers.;3
165;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
166;2020-04-01;2500-0001;I can always trust the colleagues in my team.;9
167;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
168;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
169;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;1
170;2020-04-01;2500-0001;I'm often working under time pressure.;1
171;2020-04-01;2500-0001;I have a really interesting  job.;8
172;2020-04-01;2500-0001;Most of the time I enjoy going to work.;9
173;2020-04-01;2500-0001;I'm often bored at work.;2
174;2020-04-01;2500-0001;If I could, I would like to change careers.;3
175;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
176;2020-04-01;2500-0001;I can always trust the colleagues in my team.;10
177;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
178;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
179;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;3
180;2020-04-01;2500-0001;I'm often working under time pressure.;1
181;2020-04-01;2500-0001;I have a really interesting  job.;8
182;2020-04-01;2500-0001;Most of the time I enjoy going to work.;9
183;2020-04-01;2500-0001;I'm often bored at work.;2
184;2020-04-01;2500-0001;If I could, I would like to change careers.;1
185;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
186;2020-04-01;2500-0001;I can always trust the colleagues in my team.;8
187;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;3
188;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
189;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;1
190;2020-04-01;2500-0001;I'm often working under time pressure.;3
191;2020-04-01;2500-0001;I have a really interesting  job.;10
192;2020-04-01;2500-0001;Most of the time I enjoy going to work.;8
193;2020-04-01;2500-0001;I'm often bored at work.;1
194;2020-04-01;2500-0001;If I could, I would like to change careers.;1
195;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
196;2020-04-01;2500-0001;I can always trust the colleagues in my team.;9
197;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
198;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
199;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;3
200;2020-04-01;2500-0001;I'm often working under time pressure.;2
201;2020-04-01;2500-0001;I have a really interesting  job.;9
202;2020-04-01;2500-0001;Most of the time I enjoy going to work.;8
203;2020-04-01;2500-0001;I'm often bored at work.;1
204;2020-04-01;2500-0001;If I could, I would like to change careers.;2
205;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
206;2020-04-01;2500-0001;I can always trust the colleagues in my team.;9
207;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
208;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
209;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;2
210;2020-04-01;2500-0001;I'm often working under time pressure.;3
211;2020-04-01;2500-0001;I have a really interesting  job.;9
212;2020-04-01;2500-0001;Most of the time I enjoy going to work.;10
213;2020-04-01;2500-0001;I'm often bored at work.;3
214;2020-04-01;2500-0001;If I could, I would like to change careers.;3
215;2020-04-01;2500-0001;I'm satisified with the relations between colleagues in my team.;10
216;2020-04-01;2500-0001;I can always trust the colleagues in my team.;8
217;2020-04-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
218;2020-04-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
219;2020-04-01;2500-0001;After work, I'm exhausted in the evening.;1
220;2020-04-01;2500-0001;I'm often working under time pressure.;2
221;2020-07-01;2500-0001;I have a really interesting  job.;10
222;2020-07-01;2500-0001;Most of the time I enjoy going to work.;8
223;2020-07-01;2500-0001;I'm often bored at work.;3
224;2020-07-01;2500-0001;If I could, I would like to change careers.;1
225;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
226;2020-07-01;2500-0001;I can always trust the colleagues in my team.;9
227;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
228;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
229;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;2
230;2020-07-01;2500-0001;I'm often working under time pressure.;2
231;2020-07-01;2500-0001;I have a really interesting  job.;10
232;2020-07-01;2500-0001;Most of the time I enjoy going to work.;10
233;2020-07-01;2500-0001;I'm often bored at work.;1
234;2020-07-01;2500-0001;If I could, I would like to change careers.;3
235;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
236;2020-07-01;2500-0001;I can always trust the colleagues in my team.;8
237;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
238;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
239;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;3
240;2020-07-01;2500-0001;I'm often working under time pressure.;1
241;2020-07-01;2500-0001;I have a really interesting  job.;8
242;2020-07-01;2500-0001;Most of the time I enjoy going to work.;10
243;2020-07-01;2500-0001;I'm often bored at work.;3
244;2020-07-01;2500-0001;If I could, I would like to change careers.;3
245;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;8
246;2020-07-01;2500-0001;I can always trust the colleagues in my team.;10
247;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
248;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
249;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;2
250;2020-07-01;2500-0001;I'm often working under time pressure.;2
251;2020-07-01;2500-0001;I have a really interesting  job.;8
252;2020-07-01;2500-0001;Most of the time I enjoy going to work.;10
253;2020-07-01;2500-0001;I'm often bored at work.;3
254;2020-07-01;2500-0001;If I could, I would like to change careers.;1
255;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
256;2020-07-01;2500-0001;I can always trust the colleagues in my team.;8
257;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;3
258;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
259;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;1
260;2020-07-01;2500-0001;I'm often working under time pressure.;2
261;2020-07-01;2500-0001;I have a really interesting  job.;9
262;2020-07-01;2500-0001;Most of the time I enjoy going to work.;8
263;2020-07-01;2500-0001;I'm often bored at work.;2
264;2020-07-01;2500-0001;If I could, I would like to change careers.;3
265;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
266;2020-07-01;2500-0001;I can always trust the colleagues in my team.;8
267;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;3
268;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
269;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;2
270;2020-07-01;2500-0001;I'm often working under time pressure.;3
271;2020-07-01;2500-0001;I have a really interesting  job.;8
272;2020-07-01;2500-0001;Most of the time I enjoy going to work.;9
273;2020-07-01;2500-0001;I'm often bored at work.;3
274;2020-07-01;2500-0001;If I could, I would like to change careers.;1
275;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
276;2020-07-01;2500-0001;I can always trust the colleagues in my team.;10
277;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;1
278;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
279;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;1
280;2020-07-01;2500-0001;I'm often working under time pressure.;3
281;2020-07-01;2500-0001;I have a really interesting  job.;10
282;2020-07-01;2500-0001;Most of the time I enjoy going to work.;10
283;2020-07-01;2500-0001;I'm often bored at work.;1
284;2020-07-01;2500-0001;If I could, I would like to change careers.;3
285;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
286;2020-07-01;2500-0001;I can always trust the colleagues in my team.;8
287;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;2
288;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
289;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;3
290;2020-07-01;2500-0001;I'm often working under time pressure.;1
291;2020-07-01;2500-0001;I have a really interesting  job.;9
292;2020-07-01;2500-0001;Most of the time I enjoy going to work.;8
293;2020-07-01;2500-0001;I'm often bored at work.;2
294;2020-07-01;2500-0001;If I could, I would like to change careers.;2
295;2020-07-01;2500-0001;I'm satisified with the relations between colleagues in my team.;9
296;2020-07-01;2500-0001;I can always trust the colleagues in my team.;9
297;2020-07-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;3
298;2020-07-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
299;2020-07-01;2500-0001;After work, I'm exhausted in the evening.;2
300;2020-07-01;2500-0001;I'm often working under time pressure.;2
301;2020-10-01;2500-0001;I have a really interesting  job.;2
302;2020-10-01;2500-0001;Most of the time I enjoy going to work.;1
303;2020-10-01;2500-0001;I'm often bored at work.;8
304;2020-10-01;2500-0001;If I could, I would like to change careers.;8
305;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
306;2020-10-01;2500-0001;I can always trust the colleagues in my team.;1
307;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
308;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
309;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;6
310;2020-10-01;2500-0001;I'm often working under time pressure.;6
311;2020-10-01;2500-0001;I have a really interesting  job.;1
312;2020-10-01;2500-0001;Most of the time I enjoy going to work.;3
313;2020-10-01;2500-0001;I'm often bored at work.;7
314;2020-10-01;2500-0001;If I could, I would like to change careers.;7
315;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
316;2020-10-01;2500-0001;I can always trust the colleagues in my team.;3
317;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
318;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
319;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;9
320;2020-10-01;2500-0001;I'm often working under time pressure.;6
321;2020-10-01;2500-0001;I have a really interesting  job.;2
322;2020-10-01;2500-0001;Most of the time I enjoy going to work.;1
323;2020-10-01;2500-0001;I'm often bored at work.;7
324;2020-10-01;2500-0001;If I could, I would like to change careers.;7
325;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
326;2020-10-01;2500-0001;I can always trust the colleagues in my team.;2
327;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
328;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;7
329;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;6
330;2020-10-01;2500-0001;I'm often working under time pressure.;9
331;2020-10-01;2500-0001;I have a really interesting  job.;3
332;2020-10-01;2500-0001;Most of the time I enjoy going to work.;2
333;2020-10-01;2500-0001;I'm often bored at work.;7
334;2020-10-01;2500-0001;If I could, I would like to change careers.;9
335;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
336;2020-10-01;2500-0001;I can always trust the colleagues in my team.;1
337;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
338;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
339;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;8
340;2020-10-01;2500-0001;I'm often working under time pressure.;9
341;2020-10-01;2500-0001;I have a really interesting  job.;3
342;2020-10-01;2500-0001;Most of the time I enjoy going to work.;1
343;2020-10-01;2500-0001;I'm often bored at work.;8
344;2020-10-01;2500-0001;If I could, I would like to change careers.;8
345;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
346;2020-10-01;2500-0001;I can always trust the colleagues in my team.;2
347;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
348;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
349;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;8
350;2020-10-01;2500-0001;I'm often working under time pressure.;9
351;2020-10-01;2500-0001;I have a really interesting  job.;3
352;2020-10-01;2500-0001;Most of the time I enjoy going to work.;2
353;2020-10-01;2500-0001;I'm often bored at work.;8
354;2020-10-01;2500-0001;If I could, I would like to change careers.;7
355;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
356;2020-10-01;2500-0001;I can always trust the colleagues in my team.;3
357;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
358;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
359;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;8
360;2020-10-01;2500-0001;I'm often working under time pressure.;9
361;2020-10-01;2500-0001;I have a really interesting  job.;3
362;2020-10-01;2500-0001;Most of the time I enjoy going to work.;2
363;2020-10-01;2500-0001;I'm often bored at work.;9
364;2020-10-01;2500-0001;If I could, I would like to change careers.;6
365;2020-10-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
366;2020-10-01;2500-0001;I can always trust the colleagues in my team.;2
367;2020-10-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
368;2020-10-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;7
369;2020-10-01;2500-0001;After work, I'm exhausted in the evening.;6
370;2020-10-01;2500-0001;I'm often working under time pressure.;8
371;2021-01-01;2500-0001;I have a really interesting  job.;1
372;2021-01-01;2500-0001;Most of the time I enjoy going to work.;3
373;2021-01-01;2500-0001;I'm often bored at work.;6
374;2021-01-01;2500-0001;If I could, I would like to change careers.;7
375;2021-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
376;2021-01-01;2500-0001;I can always trust the colleagues in my team.;3
377;2021-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
378;2021-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
379;2021-01-01;2500-0001;After work, I'm exhausted in the evening.;9
380;2021-01-01;2500-0001;I'm often working under time pressure.;9
381;2021-01-01;2500-0001;I have a really interesting  job.;1
382;2021-01-01;2500-0001;Most of the time I enjoy going to work.;3
383;2021-01-01;2500-0001;I'm often bored at work.;8
384;2021-01-01;2500-0001;If I could, I would like to change careers.;8
385;2021-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
386;2021-01-01;2500-0001;I can always trust the colleagues in my team.;2
387;2021-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
388;2021-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
389;2021-01-01;2500-0001;After work, I'm exhausted in the evening.;6
390;2021-01-01;2500-0001;I'm often working under time pressure.;6
391;2021-01-01;2500-0001;I have a really interesting  job.;3
392;2021-01-01;2500-0001;Most of the time I enjoy going to work.;1
393;2021-01-01;2500-0001;I'm often bored at work.;9
394;2021-01-01;2500-0001;If I could, I would like to change careers.;9
395;2021-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
396;2021-01-01;2500-0001;I can always trust the colleagues in my team.;1
397;2021-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
398;2021-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
399;2021-01-01;2500-0001;After work, I'm exhausted in the evening.;7
400;2021-01-01;2500-0001;I'm often working under time pressure.;8
401;2021-01-01;2500-0001;I have a really interesting  job.;1
402;2021-01-01;2500-0001;Most of the time I enjoy going to work.;2
403;2021-01-01;2500-0001;I'm often bored at work.;7
404;2021-01-01;2500-0001;If I could, I would like to change careers.;7
405;2021-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;2
406;2021-01-01;2500-0001;I can always trust the colleagues in my team.;1
407;2021-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
408;2021-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
409;2021-01-01;2500-0001;After work, I'm exhausted in the evening.;7
410;2021-01-01;2500-0001;I'm often working under time pressure.;7
411;2021-01-01;2500-0001;I have a really interesting  job.;3
412;2021-01-01;2500-0001;Most of the time I enjoy going to work.;1
413;2021-01-01;2500-0001;I'm often bored at work.;8
414;2021-01-01;2500-0001;If I could, I would like to change careers.;8
415;2021-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
416;2021-01-01;2500-0001;I can always trust the colleagues in my team.;1
417;2021-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
418;2021-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
419;2021-01-01;2500-0001;After work, I'm exhausted in the evening.;6
420;2021-01-01;2500-0001;I'm often working under time pressure.;9
421;2021-01-01;2500-0001;I have a really interesting  job.;2
422;2021-01-01;2500-0001;Most of the time I enjoy going to work.;1
423;2021-01-01;2500-0001;I'm often bored at work.;6
424;2021-01-01;2500-0001;If I could, I would like to change careers.;9
